random,cyclic,lipschitz,GS,GSL
4846770.99553,4960767.22991,4529279.57411,1321510.19328,1062844.55006
4809895.27533,4952048.5543,4486572.32658,1318721.03329,1054679.87861
4809888.04678,4949378.00012,4481900.77732,1299055.09121,1047514.4663
4803485.56143,4934804.09407,4449499.02082,1290722.27713,1039528.09858
4799065.0167,4931090.17159,4433338.53438,1283244.54461,1032572.92739
4798921.29836,4924126.17988,4430949.89062,1279526.43694,1025156.83896
4786534.78151,4920047.85264,4430561.11568,1270979.29019,1016781.53654
4786348.21274,4919878.18275,4430199.32911,1262926.17328,1009899.73026
4785803.74004,4915144.97934,4401752.98488,1251743.68376,1002953.48037
4785528.26846,4914472.9175,4401575.35994,1246636.92784,995596.728293
4770768.50523,4883740.27129,4400257.36802,1225431.12543,988951.930928
4770764.08434,4880757.52005,4400240.15469,1217286.21394,981962.932526
4769859.52992,4878541.16691,4399534.28629,1212345.75041,974702.622504
4758524.63321,4877290.11704,4397809.73898,1200611.45905,968213.992214
4758361.44892,4871966.16939,4303715.2211,1194128.8767,961400.366996
4758339.7207,4871367.7442,4287465.96489,1186308.27972,955041.026611
4758170.00402,4805091.1569,4285154.43266,1185172.42905,948238.554168
4758146.79477,4805091.13019,4284814.21693,1182194.36927,941830.427918
4748584.43808,4804393.80932,4272223.91993,1179391.75734,933738.03203
4746556.00683,4786704.03909,4268617.35403,1166536.66805,927696.648728
4742624.68255,4780068.49549,4189622.71307,1164101.57197,920942.820775
4742584.58007,4765319.96467,4170278.86897,1160701.11642,914784.095658
4715096.76453,4765306.65767,4147515.64668,1149636.24006,908735.501482
4714268.11493,4726951.98717,4147490.67187,1143697.28361,902890.502473
4703108.35728,4724822.50723,4147149.11118,1141648.86009,897193.439695
4700045.90647,4724668.41295,4147144.13154,1138064.85348,891927.827631
4700035.65899,4711919.56088,4137759.91302,1125377.12363,886358.899619
4698711.933,4678596.84768,4134729.60369,1117983.92401,880835.163803
4698416.83712,4675207.19753,4134067.49648,1112664.71257,875109.22179
4692580.21399,4674982.7202,4127445.0441,1107818.61501,869657.932131
4631379.16998,4663325.66623,4124490.41542,1103355.69762,864202.822053
4627305.08091,4654504.29199,4124480.55321,1087076.69723,858693.976743
4627000.50178,4647411.86394,4123376.24876,1074749.97355,852936.791735
4618210.59726,4646614.68034,4121955.04176,1070856.5037,847319.005146
4612379.53268,4646347.84029,4117436.62604,1067544.60492,841316.974801
4549581.29621,4646048.93183,4115796.8256,1058789.34688,835642.119908
4549256.38829,4624803.70982,4115755.80349,1056461.90094,829978.04196
4545129.21837,4624238.10858,4114450.79536,1049616.03309,824546.942709
4543126.57984,4618938.17465,4077047.07243,1043505.73739,818983.812176
4541489.56357,4616271.28005,4076944.01529,1038602.30975,813878.767738
4541428.62237,4594260.48103,4073723.39472,1033683.42644,808519.234228
4540761.65472,4591776.51083,4073662.02086,1023503.65309,803831.688227
4529961.50498,4589452.39959,4073520.40065,1021234.11402,799147.964805
4529871.27686,4589329.81982,4069253.14936,1014762.45292,794371.931491
4529629.94403,4587118.10423,4040782.05178,1012336.61802,789744.115828
4525860.28674,4585898.52624,4035175.29332,1004833.43689,785045.466493
4525093.25074,4584904.06979,4034512.34262,1002826.09998,780566.126361
4517954.53983,4575316.76411,4034139.67975,991196.589579,775655.512867
4517802.13276,4575031.46832,4032094.77123,989973.157219,770610.552064
4516976.29535,4567245.04543,4029417.1416,987390.647651,765568.738537
4515790.77217,4560955.81897,3990019.54709,983599.142603,760546.17839
4515778.3904,4558752.20957,3990018.72344,980145.363181,755061.570071
4513264.68971,4527876.95721,3982088.62927,976750.443279,750201.088392
4513258.62238,4508900.59425,3982071.15116,970124.644541,745106.958786
4512315.00002,4499080.35836,3958051.85666,967337.348372,740829.087919
4512285.78188,4498949.27571,3956366.80244,964331.70461,736623.230904
4512156.20735,4498941.13442,3955389.9768,959116.406726,732216.165468
4510398.68747,4498659.414,3953169.41993,951665.767557,727581.408241
4508296.13942,4496838.5204,3952168.76496,947740.209202,723155.087148
4504902.89392,4494231.6736,3945523.82204,931659.641222,718691.626152
4484623.04394,4482402.38942,3944580.99788,928457.001587,714139.48853
4484385.59978,4472698.7039,3941226.07152,924364.358447,709789.375804
4483661.49244,4444183.48552,3940249.05508,921592.917009,705089.367794
4483389.23484,4438335.96715,3934341.77842,917314.143433,700982.489035
4481992.68982,4438002.77814,3926474.91791,916544.844571,696199.823087
4481252.12494,4436988.88721,3882004.83322,909946.141379,692102.330537
4473210.12349,4434864.74842,3875450.18667,904676.002204,688062.541802
4473209.36481,4422189.03918,3875330.72691,897294.193865,683640.077434
4460281.95481,4420447.88071,3864516.61913,896239.875709,679270.624683
4457975.42503,4396658.31279,3836503.88595,889647.563197,674878.133508
4455158.30546,4393422.07116,3836471.90966,887055.038622,670163.426362
4446052.70438,4389489.48573,3836471.86296,881723.033627,666260.047563
4445799.03506,4378999.41872,3827795.04194,880982.01241,662179.24992
4438971.26068,4366612.80237,3827731.62485,879458.775421,657852.900334
4438583.49963,4360233.45108,3823611.17333,875482.199399,653633.82846
4428214.71584,4356761.45238,3821372.65097,873245.762881,648894.15133
4427059.78402,4307851.49177,3800052.74908,869155.745663,645206.561016
4426666.88212,4305904.25138,3800009.23507,856657.669596,641494.175103
4422623.66903,4267487.55345,3799957.59315,850239.393129,637476.603443
4421764.34806,4267479.15951,3744755.56818,849192.463348,633299.564846
4420278.38691,4266873.119,3743782.4868,846788.499182,629458.371768
4408512.23374,4260872.95986,3733247.21315,845185.426808,625913.828258
4405702.28788,4260863.34171,3732897.53264,841593.28757,622314.734008
4386811.39767,4260590.10524,3732533.21295,833851.981524,618636.266698
4386688.90384,4252082.92397,3701659.73189,832043.788723,615061.846044
4386658.71569,4243379.00201,3695311.31096,829141.809271,611269.149661
4385256.09568,4241839.15421,3694403.19174,824225.483931,607950.867091
4385241.28626,4236427.89814,3694347.61136,823585.399303,604317.939737
4385164.24196,4235302.77026,3694209.47695,822619.855091,600960.367042
4385163.09594,4232982.49467,3686849.60008,809097.381756,597261.261472
4377177.39671,4232554.98299,3686835.75857,806782.139621,594064.922401
4371084.97348,4219835.95128,3686824.59981,806245.754002,590976.967911
4370356.20885,4207151.14488,3686552.54502,805057.357961,588039.882597
4368232.42695,4168405.10542,3686344.48315,802358.883557,585091.55564
4364881.45407,4133249.74829,3684921.81933,800579.294947,582138.721841
4353654.70808,4130860.44977,3684886.0575,797056.855042,578657.4339
4353594.65929,4130626.38444,3684880.56615,795656.966674,575558.668885
4255434.67879,4124254.92776,3683262.97953,793508.493727,572173.197337
4222257.0152,4119488.29573,3682478.1049,780195.151584,569029.983117
4220333.24493,4119251.37034,3681883.28043,778249.511203,566144.609751
4219845.94584,4090509.25696,3680820.88077,770378.070329,563303.369795
4219845.39523,4090446.46233,3680555.3929,757851.978188,560173.813358
4219778.4035,4088300.27646,3680526.26545,753609.624245,556922.084036
4219407.04683,4085024.55916,3680308.73894,751596.084558,553918.288035
4204690.34535,4083088.19125,3677337.51288,749847.824366,550712.887501
4202600.89296,4081141.4628,3677246.83695,744642.655168,547874.801153
4201947.83951,4077708.03511,3676604.68785,743319.586948,544883.468263
4200956.45842,4068096.32709,3676598.7224,739383.747004,542096.524283
4200032.15141,4056474.74162,3676496.98331,734695.441952,539420.242111
4179030.41264,4053646.55843,3650502.1889,732022.294955,536321.872882
4178971.72406,4007976.9893,3649106.79459,730860.511938,533221.909604
4164170.60231,4007051.06153,3647866.35438,728892.517616,530248.124642
4164144.09164,4006850.46379,3584874.00321,727725.178932,527600.993685
4152220.96748,4004054.17203,3584855.51014,726598.913202,524858.154807
4106245.96363,4002958.364,3582229.92768,721052.880935,522018.539607
4100342.54439,4002725.12401,3582227.16887,712783.980348,519411.314606
4096811.45538,3998882.50525,3582107.21488,711852.20488,516660.461843
4096070.90491,3982915.34642,3581673.0382,710793.972339,514080.878968
4096055.99989,3982356.75832,3580987.1742,706984.962722,511582.710365
4094794.28372,3971458.12174,3563622.74268,704750.687093,509089.082604
4091508.73307,3967287.27222,3546775.19136,700815.445981,506707.259153
4087202.80576,3963780.66814,3544660.26388,698370.626326,504240.111718
4082570.06513,3963778.42643,3522938.46628,693027.579283,502050.787622
4082425.6748,3962929.85409,3522931.37096,690088.004772,499695.787462
4082289.44094,3962928.65717,3511795.26696,687734.977203,497136.493876
4072991.42313,3961530.30752,3510537.1712,684960.598663,494842.235991
4066451.60187,3956207.18926,3509879.98681,683319.731275,492193.092233
4060698.97031,3955209.18763,3509439.6621,679697.027785,490132.823316
4041324.65401,3955178.71782,3509336.89271,679356.23169,488022.37681
4041251.64408,3954482.55283,3467967.44066,678351.39746,485632.956509
4029642.5229,3943270.11907,3466960.44285,673523.033724,483568.795387
4009699.80017,3939374.61434,3466912.24716,673108.769527,481272.780284
4008486.23049,3933070.62295,3460264.70767,672695.771606,479096.752126
4006393.95672,3925036.45616,3460159.17479,671597.966894,476723.488245
4002002.84517,3915697.61913,3459119.57384,670114.667203,474448.431321
4001582.74073,3913705.97529,3455380.03806,669492.519415,471917.416311
3973032.58541,3904619.75943,3455149.49899,667333.739017,469880.42509
3959145.17566,3902778.77683,3455139.80557,666505.742001,467783.115729
3954297.70155,3876954.19288,3452769.36639,659577.1645,465785.522443
3954295.48422,3869370.45237,3452748.20149,655655.75127,463736.704038
3953969.92362,3861718.60647,3449914.82898,654689.518677,461822.635719
3953607.67309,3857206.59324,3440885.7794,651838.081952,459666.174084
3933041.72396,3856802.50847,3440657.92818,650572.003442,457729.389527
3925556.28637,3848964.64414,3429126.01977,647220.537576,455742.348572
3925434.65829,3842082.71231,3428202.25594,642461.105559,453807.40049
3925362.71809,3841502.37477,3427800.83462,638933.610853,451795.223936
3925301.03861,3840285.53488,3421252.9141,637087.754181,449496.374494
3915613.98386,3732567.92715,3420138.11291,634556.089194,447298.399815
3913248.98198,3732113.97935,3418778.62922,634226.430688,445171.171588
3912974.61086,3732102.48545,3416586.9522,629235.190117,443043.463468
3912898.8574,3723074.07172,3416568.09047,628969.058967,440898.424836
3911457.81456,3723068.22277,3414371.35503,625900.538594,438841.992122
3911232.51698,3722852.64418,3409288.69116,622975.041056,436732.277617
3894024.44344,3720036.11116,3400692.93233,621943.891077,434595.633421
3893842.66426,3718069.62713,3396821.82274,617570.129897,432713.894969
3893700.6796,3718011.9743,3396794.68697,616985.795563,430644.864825
3888034.52099,3705569.17298,3396352.35576,614828.167952,428771.923333
3887526.72796,3705546.49924,3395045.9808,613381.623278,426799.441869
3887499.73546,3705515.43276,3391356.66236,606298.484201,424987.881739
3884118.50144,3705353.41223,3342901.1454,605536.080053,423232.877174
3873637.73085,3701763.35638,3325752.68332,604495.500232,421272.949278
3873214.71969,3678197.3768,3325718.14336,603390.065829,419297.632362
3873214.63873,3673579.96382,3323188.53869,599467.181213,417284.77618
3873170.83028,3670624.03573,3305119.80805,595513.037322,415406.082132
3870058.54069,3638971.17456,3294278.59548,593348.041272,413314.093356
3862614.25165,3638393.61048,3294166.11925,590831.058015,411484.212462
3860943.08751,3635495.08423,3284277.71364,586679.275883,409644.729131
3860940.327,3634816.44051,3284277.60798,585396.712241,407752.973777
3842671.83261,3617505.54061,3284004.13365,584183.349279,405918.862815
3842368.31472,3614524.87597,3280277.88779,582601.782536,403903.712941
3842198.83915,3605347.70506,3280038.87328,580450.599991,401962.327358
3842103.75895,3600586.19061,3168821.09134,579862.404395,399858.112745
3836833.68921,3591630.59615,3168768.50613,576186.423147,397409.876007
3836373.05655,3586967.38086,3168768.46791,574570.46369,395534.995102
3836063.73869,3572764.02034,3168569.64988,571968.086632,393748.046895
3835532.31563,3557678.81997,3168569.45418,570025.821519,391805.719996
3835456.4825,3557004.91029,3168018.73268,568824.519601,389995.036384
3832211.63028,3534386.01584,3131729.4415,567295.974766,388172.176348
3831965.35681,3532284.31286,3117293.81743,566395.342612,386345.948422
3827591.20614,3531951.26985,3115815.36258,564636.624043,384506.496968
3824586.10159,3516959.53801,3112510.02511,562648.818583,382313.291766
3806277.17668,3516696.67022,3111601.35607,561397.988062,380366.089978
3806148.37822,3516044.53559,3111410.80516,560719.035453,378679.733897
3805785.68305,3462128.80851,3103658.49641,554967.884326,377057.335172
3805746.80522,3458663.90161,3103437.93186,554558.837048,375316.685482
3748471.12756,3458438.95712,3074521.13766,553855.504993,373464.485817
3746190.5355,3448014.78224,3066926.30743,550554.794267,371770.587838
3743851.86632,3446852.91484,3066367.54335,549796.002136,369980.632954
3743771.07186,3446473.24627,3049445.54421,548456.234322,368219.844386
3743038.91306,3423384.41444,3027172.86071,543156.296928,366462.274042
3741790.22026,3423294.50543,3027165.00998,542556.463902,364876.613234
3740440.03612,3422801.28419,2974233.36641,540505.636248,363142.064967
3740422.5301,3422602.26969,2969638.10272,537262.906191,361587.248001
3740363.95294,3412718.52886,2968209.20986,536562.207981,359916.13419
3738184.14928,3346996.89487,2944758.23566,533392.915437,358330.822169
3735190.62038,3322200.88137,2937352.06101,533038.169805,356714.311445
3731929.18695,3319454.09937,2932991.94115,529149.339163,355099.112543
3731444.94326,3318641.18565,2932926.27627,527438.552688,353507.348935
3711598.51826,3318601.62879,2932216.94794,524287.00389,351978.533127
3679394.41147,3315845.74003,2931057.40796,524020.194179,350211.495083
3679353.7866,3314433.75459,2870735.77426,523360.382422,348741.554618
3675146.6189,3305367.61687,2870507.91598,521276.907341,347199.725887
3672414.44269,3299611.60279,2870449.06087,518422.386559,345851.450597
3663783.56247,3299081.65554,2869247.28423,517296.700737,344311.156626
3658805.91465,3290794.82976,2869242.30248,515356.967049,342846.054778
3658596.73743,3290210.30114,2869118.2326,513379.217872,341321.644019
3646945.98297,3224563.5959,2868974.46331,510460.721225,339856.699907
3646924.06784,3224312.94186,2867993.26042,504614.131951,338362.809676
3644059.11349,3223869.42226,2865984.48467,504130.411574,336965.033663
3643311.44556,3215909.02778,2737258.13564,503061.241185,335518.310864
3635378.84093,3212823.28198,2733503.14003,501669.335482,334091.119217
3635174.40932,3161875.36583,2733474.17213,500299.282407,332528.235318
3634880.54528,3160601.84804,2733474.17213,499294.584649,331151.202854
3632873.25769,3159473.34287,2733445.97919,492497.803951,329737.622391
3632585.42913,3153158.28047,2727645.67569,491653.852905,328296.629699
3627003.07729,3151336.31354,2727452.33288,491082.675563,326871.275701
3622822.00048,3151333.35052,2727401.62867,490728.083861,325440.271424
3617256.60921,3130988.90905,2721225.1236,488921.31741,324164.50957
3608087.44672,3126735.54565,2720651.89207,488101.97508,322813.051713
3606168.76524,3126525.4135,2720293.97102,486105.102124,321566.396078
3573710.95794,3126404.96928,2720292.63536,485929.681804,320305.004647
3551986.57081,3114428.46696,2718051.46116,482359.324015,319050.107156
3551971.28673,3113763.83882,2718048.82341,480743.899814,317661.717669
3538278.50477,3093490.36299,2717352.45862,476983.060302,316357.945984
3537757.11418,3092421.78214,2716944.56465,474528.294896,314969.957139
3525429.86316,3059857.45183,2716857.29055,472088.509166,313741.343651
3525082.92886,3027367.1473,2713497.85991,471650.950915,312515.184361
3524986.47892,3024627.68095,2713451.40294,466865.718208,311295.780939
3524957.51849,3024193.66329,2711327.35538,466528.819297,310037.961017
3524600.92144,3023676.00975,2700976.13046,465521.129389,308823.622616
3518149.88511,3021529.98742,2700976.12442,464644.245117,307553.726062
3513676.50432,3021299.96961,2700965.68263,462700.096452,306193.065986
3512171.95793,3010211.86506,2630198.8691,461843.874457,305009.63486
3502411.81199,3009213.907,2630198.83395,461216.553254,303721.077138
3502253.05325,2996305.58887,2629521.45625,458085.154771,302565.597305
3495375.55767,2992062.64961,2625778.3967,457247.131699,301286.725394
3490323.52811,2988746.93134,2625667.48486,456655.107894,300082.951658
3490093.43856,2984647.63113,2622295.3269,455752.444133,298843.765353
3489635.84109,2981839.64006,2621079.86419,455141.405396,297712.428529
3489625.07052,2981384.21616,2620656.41803,452981.655431,296588.169122
3453596.26888,2979679.35957,2620481.14361,451716.286691,295467.114059
